Local,Nome,Logradouro,Latitude,Longitude
Café Deli,Abondanza,146 W 46th St,40.757948,-73.983598
Full Serve,Dervish Turkish Restaurant,146 W 47th St,40.758579,-73.98315
Quick Serve,Godiva Chocolatier,1460 Broadway,40.754998,-73.986284
Quick Serve,Ranch 1,141 W 41st St,40.754756,-73.985956
Quick Serve,Scotts Food Court,141 W 41st St,40.754756,-73.985956
Full Serve,Tony's Di Napoli,147 W 43rd Str,40.756022,-73.984808
Full Serve,Bombay Masala Indian Restaurant,148 W 49th St,40.759847,-73.982294
Café Deli,Vacant (former Café Groppi),148 W 49th St,40.759847,-73.982294
Full Serve,Ruth's Chris Steak House,148 W 51st St,40.761357,-73.981969
Full Serve,Rosie O'Grady's Steakhouse,149 W 46th St,40.757981,-73.983627
Full Serve,Le Marais,150 W 46th St,40.757984,-73.983677
Full Serve,Langan's Bar & Restaurant,150 W 47th St,40.758612,-73.983233
Café Deli,Y & H Grocery,150 W 47th St,40.758612,-73.983233
Full Serve,Bella Napoli,150 W 49th St,40.759867,-73.982334
Full Serve,Osteria Al Doge,142 W 44th St,40.756634,-73.984367
Bar Lounge,St. Andrews Restaurant and Bar,142 W 46th St,40.757915,-73.983519
Full Serve,Pasta Lovers Trattoria,142 W 49th St,40.759798,-73.982172
Full Serve,John's Shanghai,144 W 46th St,40.757932,-73.983558
Coffee,Starbucks,1460 Broadway,40.754998,-73.986284
Full Serve,Virgils Real Barbecue,152 W 44th St,40.756716,-73.984558
Full Serve,Iroha,152 W 49th St,40.759883,-73.982374
Full Serve,Sapporo,152 W 49th St,40.759883,-73.982374
Café Deli,Europa Cafe,152 W 51st St,40.761439,-73.982168
Full Serve,Bar Americain,152 W 52nd St,40.762005,-73.981568
Full Serve,Ruby's Diner,234 W 42nd St,40.756747,-73.988659
Café Deli,Virtigo Cafe Llc,234 W 42nd St,40.756747,-73.988659
Full Serve,Aoki,234 W 48th St,40.760454,-73.985655
Full Serve,Saigon 48,234 W 48th St,40.760454,-73.985655
Full Serve,Inakaya,620 Eighth Ave,40.756039,-73.990651
Full Serve,Schnipper's Quality Kitchen,620 Eighth Ave,40.756039,-73.990651
Quick Serve,McDonald's,1651 Broadway,40.762164,-73.983575
Coffee,Starbucks,1530 Broadway,40.757674,-73.985121
Full Serve,Sardi's Restaurant,234-236 W 44th St,40.757921,-73.987421
Café Deli,Dean & Deluca,560 Broadway,40.723909,-73.998048
Full Serve,Library Bar,235 W 46th St,40.759132,-73.986348
Full Serve,La Rivista Ristorante,313 W 46th St,40.760082,-73.98859
Full Serve,Broadway Joe Steakhouse,315 W 46th St,40.760098,-73.988629
Full Serve,Bistecca Fiorentina,317 W 46th St,40.760114,-73.988669
